spin_half,charge_1_3,has_charge,Strong,EM,Weak,logMass,stable_band,novelty,novelty_norm,propagation_fraction,measurability,score_v02,universal_potential_speed_mps
0,-4,1,1,1,0,-8,0,1.6319513798279803,0.9257356541026743,0.0,0.8,0.789154609756471,299792458
0,3,1,1,1,0,-8,0,1.6263839388512442,0.9225774848839198,0.0,0.8,0.787417616686156,299792458
0,6,1,1,1,0,-6,1,1.621147098147543,0.9196068509458037,0.0,0.8,0.785783768020192,299792458
0,-5,1,1,1,0,-6,1,1.621147098147543,0.9196068509458037,0.0,0.8,0.785783768020192,299792458
0,-5,1,1,1,0,-5,0,1.621147098147543,0.9196068509458037,0.0,0.8,0.785783768020192,299792458
0,5,1,1,1,0,-6,0,1.619047619047619,0.918415906974147,0.0,0.8,0.7851287488357808,299792458
0,4,1,1,1,0,-7,0,1.619047619047619,0.918415906974147,0.0,0.8,0.7851287488357808,299792458
0,-6,1,1,1,1,-7,1,1.3944333775567928,0.7910019323070807,0.0,1.0,0.7850510627688945,299792458
0,-6,1,1,1,1,-6,0,1.3944333775567928,0.7910019323070807,0.0,1.0,0.7850510627688945,299792458
0,2,1,1,1,0,-8,0,1.617821664700875,0.9177204759318307,0.0,0.8,0.784746261762507,299792458
0,-4,1,1,1,0,-7,0,1.605157503874588,0.9105366435265908,0.0,0.8,0.780795153939625,299792458
0,6,1,1,1,0,-4,0,1.605157503874588,0.9105366435265908,0.0,0.8,0.780795153939625,299792458
0,5,1,1,1,0,-8,1,1.605157503874588,0.9105366435265908,0.0,0.8,0.780795153939625,299792458
0,-5,1,1,1,0,-5,1,1.603744201814182,0.9097349382040508,0.0,0.8,0.7803542160122279,299792458
0,6,1,1,1,0,-5,1,1.603744201814182,0.9097349382040508,0.0,0.8,0.7803542160122279,299792458
0,-5,1,1,1,0,-4,0,1.603744201814182,0.9097349382040508,0.0,0.8,0.7803542160122279,299792458
0,-6,1,1,1,1,-6,1,1.370444422015063,0.7773940321427976,0.0,1.0,0.7775667176785387,299792458
0,-6,1,1,1,1,-5,0,1.370444422015063,0.7773940321427976,0.0,1.0,0.7775667176785387,299792458
0,3,1,1,1,0,-7,0,1.5931044722209622,0.9036994783513846,0.0,0.8,0.7770347130932616,299792458
0,6,1,1,1,1,-7,0,1.3665090335506422,0.7751616559462453,0.0,1.0,0.7763389107704349,299792458
0,-5,1,1,1,0,-3,0,1.5893637398360607,0.9015775221558975,0.0,0.8,0.7758676371857436,299792458
0,-5,1,1,1,0,-4,1,1.5893637398360607,0.9015775221558975,0.0,0.8,0.7758676371857436,299792458
0,6,1,1,1,0,-4,1,1.5893637398360607,0.9015775221558975,0.0,0.8,0.7758676371857436,299792458
0,4,1,1,1,0,-6,0,1.5888286305431307,0.9012739777259408,0.0,0.8,0.7757006877492674,299792458
0,5,1,1,1,0,-5,0,1.5888286305431307,0.9012739777259408,0.0,0.8,0.7757006877492674,299792458
0,1,1,1,1,0,-8,0,1.5888286305431307,0.9012739777259408,0.0,0.8,0.7757006877492674,299792458
0,-3,1,1,1,0,-8,0,1.5888286305431307,0.9012739777259408,0.0,0.8,0.7757006877492674,299792458
0,-5,1,1,1,1,-8,0,1.3629782648915916,0.7731588031195783,0.0,1.0,0.7752373417157681,299792458
0,2,1,1,1,0,-7,0,1.5843623580584882,0.8987404539144611,0.0,0.8,0.7743072496529536,299792458
0,5,1,1,1,1,-8,0,1.3586040588273434,0.7706775046188267,0.0,1.0,0.7738726275403547,299792458
0,5,1,1,1,0,-7,1,1.5811388300841898,0.8969118854811785,0.0,0.8,0.7733015370146482,299792458
0,-4,1,1,1,0,-6,0,1.5811388300841898,0.8969118854811785,0.0,0.8,0.7733015370146482,299792458
0,6,1,1,1,0,-3,0,1.5811388300841898,0.8969118854811785,0.0,0.8,0.7733015370146482,299792458
0,-5,1,1,1,0,-3,1,1.5780883409338602,0.8951814745119429,0.0,0.8,0.7723498109815685,299792458
0,-5,1,1,1,0,3,1,1.5780883409338602,0.8951814745119429,0.0,0.8,0.7723498109815685,299792458
0,6,1,1,1,0,-3,1,1.5780883409338602,0.8951814745119429,0.0,0.8,0.7723498109815685,299792458
0,-5,1,1,1,0,-2,0,1.5780883409338602,0.8951814745119429,0.0,0.8,0.7723498109815685,299792458
0,6,1,1,1,0,3,1,1.5780883409338602,0.8951814745119429,0.0,0.8,0.7723498109815685,299792458
0,-6,1,1,1,1,-4,0,1.3498131221960348,0.7656907853003765,0.0,1.0,0.7711299319152071,299792458
0,-6,1,1,1,1,-5,1,1.3498131221960348,0.7656907853003765,0.0,1.0,0.7711299319152071,299792458
0,-5,1,1,1,0,-1,0,1.5699849068413845,0.8905847457412202,0.0,0.8,0.7698216101576711,299792458
0,6,1,1,1,0,-2,1,1.5699849068413845,0.8905847457412202,0.0,0.8,0.7698216101576711,299792458
